claiminternalnumber,claimcolour,treatmentgroup,accept_automatic,insurancetype,privatefinanced
262,Green,3,1,auto,1
263,Yellow,1,1,auto,1
264,Yellow,2,1,property,1
265,Yellow,3,1,auto,1
266,Yellow,3,1,travel,0
267,Green,3,1,auto,1
268,Yellow,2,1,auto,1
269,Yellow,1,1,auto,1
270,Yellow,1,1,auto,1
271,Green,1,1,auto,1
272,Yellow,0,0,auto,1
273,Green,4,1,property,1
274,Yellow,0,1,auto,1
275,Yellow,4,1,auto,1
276,Green,0,1,property,0
277,Green,1,1,life,1
278,Green,1,1,auto,1
279,Green,0,1,property,0
280,Green,4,0,property,1
281,Yellow,0,1,auto,1
282,Green,2,1,auto,1
283,Green,2,1,auto,1
284,Green,2,1,auto,1
285,Yellow,3,0,property,1
286,Yellow,0,0,auto,1
287,Yellow,4,1,travel,1
288,Yellow,3,1,life,1
289,Green,2,1,travel,1
290,Yellow,4,1,travel,1
291,Yellow,2,1,auto,1
292,Yellow,1,1,property,1
293,Green,0,1,travel,1
294,Yellow,4,1,travel,1
295,Yellow,3,1,auto,1
296,Yellow,3,1,property,1
297,Yellow,3,1,auto,1
298,Yellow,4,1,auto,1
299,Green,2,1,travel,1
300,Yellow,2,1,auto,1
301,Green,4,1,auto,1
302,Yellow,0,0,auto,1
303,Yellow,2,1,property,1
304,Red,2,0,property,1
305,Yellow,4,1,auto,1
306,Yellow,1,1,auto,1
307,Yellow,4,1,property,1
308,Yellow,4,1,travel,1
309,Yellow,0,1,life,1
310,Yellow,2,1,auto,0
311,Green,2,1,auto,1
312,Red,0,0,auto,1
313,Green,0,1,property,0
314,Yellow,1,1,auto,1
315,Yellow,0,1,auto,1
316,Yellow,4,1,property,1
317,Yellow,2,1,life,1
318,Red,1,1,property,1
319,Yellow,1,1,life,1
320,Yellow,4,1,life,1
321,Yellow,3,1,life,1
322,Yellow,0,1,life,1
323,Yellow,4,0,auto,1
324,Red,3,1,travel,1
325,Red,0,1,property,1
326,Green,0,1,property,1
327,Green,4,0,property,1
328,Green,1,1,property,1
329,Yellow,4,1,auto,1
330,Yellow,0,1,travel,1
331,Green,2,1,auto,1
332,Yellow,1,1,auto,1
333,Yellow,0,0,auto,1
334,Yellow,0,0,auto,1
335,Yellow,2,0,auto,1
336,Yellow,4,1,life,1
337,Green,4,1,property,0
338,Green,0,1,auto,1
339,Yellow,4,0,auto,1
340,Green,2,1,property,1
341,Yellow,0,0,travel,0
342,Yellow,0,1,life,1
343,Yellow,0,1,life,1
344,Yellow,0,1,life,1
345,Yellow,3,1,travel,0
346,Green,3,1,auto,1
347,Green,1,1,property,0
348,Yellow,1,1,property,1
349,Green,3,1,life,1
350,Yellow,4,1,travel,0
351,Yellow,4,1,auto,1
352,Yellow,3,1,auto,1
353,Yellow,4,1,life,1
354,Red,4,1,property,1
355,Green,4,1,property,1
356,Yellow,2,1,auto,1
357,Green,3,1,property,1
358,Yellow,0,1,auto,1
359,Yellow,4,1,property,1
360,Yellow,0,1,property,0
361,Green,1,1,auto,0
362,Yellow,1,1,auto,1
363,Yellow,4,1,auto,1
364,Green,0,1,auto,1
365,Yellow,2,1,property,1
366,Yellow,4,1,travel,0
367,Yellow,1,1,auto,1
368,Green,2,1,life,1
369,Yellow,0,1,auto,1
370,Green,3,1,auto,1
371,Yellow,1,1,travel,0
372,Green,4,1,life,1
373,Green,4,1,auto,1
374,Yellow,4,1,life,1
375,Yellow,0,1,auto,1
376,Green,1,1,auto,1
377,Green,0,1,property,1
378,Green,1,1,auto,1
379,Yellow,0,0,auto,1
380,Yellow,0,1,travel,0
381,Green,4,1,auto,1
382,Yellow,2,1,property,1
383,Yellow,0,1,travel,1
384,Yellow,0,1,auto,1
385,Green,2,1,property,1
386,Yellow,1,1,life,1
387,Yellow,2,1,auto,1
388,Yellow,2,1,auto,1
389,Yellow,0,1,travel,1
390,Yellow,3,1,auto,1
391,Yellow,3,1,life,1
392,Yellow,4,1,life,1
393,Yellow,2,1,auto,1
394,Yellow,0,1,auto,1
395,Red,3,1,travel,1
396,Yellow,2,1,auto,1
397,Green,4,1,auto,1
398,Green,4,1,auto,1
399,Yellow,2,1,life,1
400,Yellow,0,0,auto,1
401,Yellow,0,0,life,1
402,Yellow,4,1,travel,1
403,Yellow,3,1,auto,1
404,Yellow,1,1,travel,1
405,Yellow,1,1,life,1
406,Yellow,3,1,travel,0
407,Yellow,4,1,auto,1
408,Yellow,4,1,life,1
409,Red,2,1,property,1
410,Yellow,3,1,travel,1
411,Yellow,3,1,travel,1
412,Green,0,1,property,1
413,Yellow,1,0,auto,1
414,Green,1,0,auto,1
415,Yellow,2,1,property,1
416,Yellow,2,1,property,1
417,Yellow,0,1,life,1
418,Green,1,0,auto,1
419,Yellow,2,1,life,1
420,Yellow,2,1,property,1
421,Yellow,4,1,auto,1
422,Yellow,1,1,auto,1
423,Yellow,3,1,auto,1
424,Yellow,0,1,travel,0
425,Yellow,4,1,property,1
426,Yellow,0,1,auto,1
427,Yellow,0,1,life,1
428,Green,0,1,property,1
429,Yellow,4,1,property,1
430,Yellow,3,1,travel,1
431,Yellow,1,0,travel,0
432,Red,0,1,travel,0
433,Yellow,1,1,property,1
434,Green,4,1,property,1
435,Yellow,0,1,life,1
436,Yellow,0,1,life,1
437,Yellow,2,0,auto,1
438,Yellow,2,1,auto,1
439,Yellow,0,1,life,1
440,Yellow,4,1,auto,1
441,Yellow,3,1,auto,1
442,Green,2,1,travel,1
443,Green,4,1,auto,1
444,Yellow,3,0,auto,1
445,Yellow,2,1,auto,1
446,Green,4,1,auto,1
447,Yellow,3,1,life,1
448,Yellow,4,0,auto,1
449,Yellow,0,0,property,1
450,Green,3,1,property,0
451,Yellow,0,1,auto,1
452,Red,3,1,travel,1
453,Green,0,1,auto,1
454,Red,0,1,travel,1
455,Yellow,0,1,travel,1
456,Red,4,1,travel,1
457,Green,4,1,auto,1
458,Yellow,1,1,travel,0
459,Yellow,1,1,auto,1
460,Green,2,1,auto,1
461,Yellow,3,1,life,1
462,Green,1,1,property,0
463,Red,0,1,travel,1
464,Green,0,1,auto,1
465,Yellow,1,1,life,1
466,Green,0,1,property,0
467,Yellow,0,1,property,0
468,Yellow,4,0,life,1
469,Yellow,3,1,auto,1
470,Green,0,1,property,1
471,Green,2,1,property,1
472,Yellow,0,1,auto,1
473,Yellow,4,1,life,1
474,Yellow,1,1,property,1
475,Red,1,0,travel,0
476,Red,1,1,travel,0
477,Yellow,1,1,auto,1
478,Green,1,1,auto,1
479,Yellow,0,1,auto,1
480,Yellow,3,1,auto,1
481,Yellow,1,1,auto,1
482,Yellow,3,1,auto,1
483,Yellow,3,0,auto,1
484,Green,2,1,property,0
485,Yellow,3,0,auto,1
486,Yellow,0,0,property,1
487,Green,2,1,property,0
488,Green,4,1,auto,1
489,Red,1,1,travel,1
490,Green,4,1,auto,1
491,Yellow,0,1,property,1
492,Yellow,4,1,auto,1
493,Yellow,2,1,travel,1
494,Red,1,1,auto,1
495,Yellow,0,0,auto,0
496,Yellow,0,1,life,1
497,Yellow,3,1,property,1
498,Yellow,0,1,property,0
499,Yellow,0,0,auto,1
500,Yellow,0,1,travel,1
501,Red,0,1,travel,1
502,Yellow,3,1,property,1
503,Yellow,2,1,auto,1
504,Green,1,1,property,1
505,Green,2,1,property,0
506,Red,0,1,property,1
507,Yellow,0,1,property,1
508,Yellow,0,1,auto,1
509,Yellow,4,1,property,0
510,Yellow,2,1,auto,1
511,Yellow,2,1,travel,0
512,Yellow,4,1,property,0
513,Yellow,2,0,auto,1
514,Yellow,0,1,auto,1
515,Yellow,0,1,auto,1
516,Yellow,1,1,life,1
517,Yellow,0,1,auto,1
518,Yellow,0,1,property,1
519,Red,0,1,property,1
520,Yellow,4,1,auto,1
521,Yellow,1,1,auto,1
522,Yellow,3,1,auto,0
523,Yellow,0,1,auto,1
524,Green,4,1,auto,1
525,Yellow,1,1,auto,1
526,Yellow,0,1,travel,0
527,Yellow,4,1,travel,1
528,Yellow,0,1,auto,1
529,Green,4,1,travel,1
530,Yellow,1,1,auto,1
531,Green,4,1,property,0
532,Yellow,4,1,travel,1
533,Green,0,0,property,1
534,Yellow,1,1,auto,1
535,Yellow,2,0,property,1
536,Yellow,0,1,property,1
537,Yellow,4,1,travel,1
538,Yellow,2,0,property,1
539,Yellow,3,1,auto,1
540,Green,2,1,auto,1
541,Red,3,1,property,0
542,Yellow,2,1,auto,1
543,Yellow,1,1,life,1
544,Yellow,2,1,auto,1
545,Yellow,1,1,auto,1
546,Yellow,4,1,travel,1
547,Yellow,1,0,auto,1
548,Yellow,1,1,travel,0
549,Yellow,0,1,travel,0
550,Yellow,1,1,auto,1
551,Yellow,0,1,auto,1
552,Yellow,4,1,auto,1
553,Yellow,0,1,life,1
554,Yellow,0,1,life,1
555,Yellow,1,1,auto,1
556,Yellow,4,1,travel,1
557,Yellow,1,1,auto,1
558,Yellow,0,1,auto,1
559,Green,0,1,auto,1
560,Green,2,1,property,0
561,Green,1,1,property,0
562,Yellow,1,1,travel,1
563,Yellow,2,1,auto,1
564,Yellow,2,1,auto,0
565,Yellow,1,1,auto,1
566,Yellow,3,1,life,1
567,Yellow,4,1,property,1
568,Yellow,0,1,travel,1
569,Yellow,4,0,auto,1
570,Yellow,4,1,auto,1
571,Yellow,3,1,auto,1
572,Green,4,1,property,1
573,Green,1,1,property,1
574,Yellow,2,1,auto,1
575,Yellow,3,1,auto,1
576,Green,4,1,auto,1
577,Yellow,0,1,travel,0
578,Green,3,1,property,1
579,Yellow,0,1,travel,0
580,Yellow,4,1,auto,1
581,Yellow,2,0,property,1
582,Yellow,4,1,auto,1
583,Yellow,1,1,travel,0
584,Green,2,1,auto,1
585,Yellow,0,1,travel,0
586,Yellow,0,1,auto,1
587,Red,2,1,travel,1
588,Yellow,4,1,auto,0
589,Yellow,1,1,auto,1
590,Yellow,1,1,auto,1
591,Yellow,0,1,travel,0
592,Yellow,0,1,auto,1
593,Yellow,3,1,auto,1
594,Yellow,4,0,auto,1
595,Green,1,1,life,1
596,Yellow,0,1,auto,1
597,Yellow,4,0,travel,0
598,Yellow,3,1,auto,1
599,Green,0,0,auto,1
600,Yellow,0,1,travel,0
601,Yellow,1,1,auto,1
602,Yellow,1,1,auto,1
603,Green,2,1,auto,1
604,Yellow,3,1,property,1
605,Yellow,1,1,auto,1
606,Green,1,1,auto,1
607,Red,0,1,auto,1
608,Red,1,1,travel,1
609,Green,1,1,auto,1
610,Green,0,1,property,0
611,Green,0,1,auto,0
612,Yellow,0,0,auto,0
613,Green,1,1,auto,1
614,Yellow,3,1,auto,1
615,Yellow,0,1,travel,0
616,Red,2,1,travel,1
617,Green,4,1,life,1
618,Red,3,1,property,1
619,Yellow,0,1,travel,0
620,Yellow,3,1,travel,0
621,Yellow,3,1,property,1
622,Green,4,1,auto,1
623,Yellow,0,1,life,1
624,Red,4,1,property,1
625,Yellow,0,0,property,1
626,Green,2,1,property,1
627,Yellow,4,1,life,1
628,Yellow,2,1,travel,0
629,Yellow,0,1,auto,1
630,Yellow,3,1,auto,1
631,Yellow,4,1,auto,1
632,Yellow,0,1,travel,1
633,Yellow,1,1,travel,0
634,Yellow,1,1,auto,1
635,Yellow,3,1,auto,1
636,Yellow,0,0,property,1
637,Green,1,1,auto,1
638,Green,0,1,travel,1
639,Yellow,4,1,auto,1
640,Yellow,1,1,auto,1
641,Green,0,1,property,0
642,Green,0,1,property,1
643,Green,1,1,auto,1
644,Green,0,1,property,1
645,Yellow,0,1,property,1
646,Yellow,3,1,auto,1
647,Yellow,1,1,property,1
648,Yellow,0,1,life,1
649,Yellow,2,1,property,1
650,Green,1,1,auto,1
651,Green,4,1,travel,0
652,Yellow,3,1,property,0
653,Yellow,0,1,travel,1
654,Green,0,1,property,1
655,Yellow,0,1,auto,1
656,Red,2,1,travel,1
657,Red,1,1,property,1
658,Green,3,1,auto,1
659,Yellow,3,1,life,1
660,Yellow,3,1,travel,1
661,Yellow,1,1,property,1
662,Yellow,1,1,travel,1
663,Yellow,1,1,property,1
664,Yellow,1,1,life,1
665,Green,2,1,other,1
666,Yellow,0,1,travel,1
667,Yellow,1,0,property,1
668,Yellow,2,0,travel,1
669,Green,3,0,property,1
670,Green,3,1,property,0
671,Yellow,4,1,auto,1
672,Yellow,0,1,auto,1
673,Yellow,3,1,auto,1
674,Red,1,1,travel,1
675,Green,2,1,property,0
676,Yellow,4,1,auto,1
677,Green,3,1,property,1
678,Yellow,1,1,property,0
679,Yellow,2,1,travel,0
680,Green,0,0,property,1
681,Yellow,3,1,auto,1
682,Yellow,1,1,property,1
683,Green,1,1,auto,1
684,Yellow,4,1,auto,1
685,Green,4,1,auto,1
686,Yellow,2,1,travel,0
687,Yellow,2,1,travel,0
688,Yellow,1,1,auto,1
689,Green,0,1,auto,1
690,Yellow,4,1,property,1
691,Yellow,3,1,travel,1
692,Yellow,3,1,travel,1
693,Red,3,1,travel,1
694,Yellow,1,0,travel,1
695,Yellow,3,1,life,1
696,Green,3,1,auto,1
697,Green,3,1,auto,1
698,Yellow,1,1,property,1
699,Yellow,1,1,travel,1
700,Green,0,1,property,1
701,Yellow,1,1,life,1
702,Green,1,1,auto,1
703,Yellow,3,0,auto,1
704,Green,1,1,life,1
705,Green,2,1,property,1
706,Yellow,1,1,travel,1
707,Yellow,1,1,auto,1
708,Yellow,0,1,travel,1
709,Red,1,0,property,1
710,Yellow,3,1,property,1
711,Yellow,0,1,auto,1
712,Red,2,1,travel,1
713,Green,3,1,auto,1
714,Green,4,1,auto,1
715,Yellow,2,1,life,1
716,Yellow,4,0,life,1
717,Green,3,1,auto,1
718,Yellow,3,1,auto,1
719,Green,2,1,auto,1
720,Yellow,0,1,auto,1
721,Yellow,0,1,auto,1
722,Yellow,1,1,auto,1
723,Yellow,1,1,life,1
724,Yellow,0,1,life,1
725,Green,4,1,property,1
726,Yellow,0,1,auto,1
727,Yellow,1,0,auto,1
728,Yellow,0,1,auto,1
729,Yellow,2,1,auto,1
730,Yellow,2,1,travel,0
731,Yellow,1,1,auto,1
732,Green,2,1,auto,1
733,Green,4,1,auto,1
734,Yellow,1,1,travel,1
735,Green,1,1,auto,1
736,Yellow,3,1,property,0
737,Red,2,1,auto,1
738,Yellow,4,1,life,1
739,Yellow,2,1,property,1
740,Green,3,1,life,1
741,Green,1,1,auto,1
742,Yellow,3,1,auto,1
743,Green,2,1,auto,1
744,Yellow,0,1,life,1
745,Yellow,2,1,travel,0
746,Yellow,3,1,property,1
747,Yellow,1,1,auto,1
748,Green,2,0,auto,1
749,Yellow,1,1,auto,1
750,Yellow,0,1,auto,1
751,Yellow,0,1,auto,1
752,Yellow,0,1,auto,1
753,Yellow,0,1,auto,1
754,Green,3,1,property,0
755,Yellow,1,1,property,1
756,Yellow,0,1,life,1
757,Green,4,1,auto,1
758,Green,0,1,auto,1
759,Yellow,2,1,property,1
760,Yellow,1,1,property,1
761,Yellow,2,1,travel,1
762,Yellow,3,1,auto,1
763,Yellow,0,1,auto,1
764,Yellow,4,1,auto,1
765,Yellow,2,1,auto,1
766,Yellow,4,1,travel,1
767,Green,2,1,auto,1
768,Yellow,0,1,auto,1
769,Yellow,3,0,auto,0
770,Yellow,0,1,auto,1
771,Yellow,0,1,auto,1
772,Yellow,2,0,travel,1
773,Yellow,1,1,auto,1
774,Green,4,1,life,1
775,Yellow,3,1,travel,1
776,Yellow,0,1,property,1
777,Yellow,3,1,travel,0
778,Yellow,3,1,property,1
779,Yellow,4,1,property,1
780,Yellow,2,1,travel,1
781,Green,1,1,travel,0
782,Yellow,1,1,travel,0
783,Yellow,3,1,auto,1
784,Red,2,1,travel,1
785,Yellow,4,0,auto,1
786,Green,2,1,life,1
787,Yellow,0,1,travel,0
788,Green,1,0,property,1
789,Yellow,0,1,travel,1
790,Yellow,0,1,auto,1
791,Yellow,4,1,property,1
792,Green,0,1,property,1
793,Green,3,1,property,1
794,Yellow,0,1,auto,1
795,Green,4,1,auto,1
796,Green,3,1,property,0
797,Red,4,1,life,1
798,Yellow,1,1,auto,1
799,Red,3,1,property,1
800,Red,2,1,travel,1
801,Yellow,3,0,travel,1
802,Yellow,2,1,property,0
803,Green,2,1,life,1
804,Yellow,4,0,property,1
805,Yellow,1,1,auto,1
806,Yellow,1,1,auto,1
807,Yellow,2,0,travel,1
808,Green,0,1,property,1
809,Yellow,1,1,auto,1
810,Red,1,1,property,1
811,Yellow,3,1,auto,1
812,Yellow,1,1,property,0
813,Yellow,4,1,auto,1
814,Yellow,3,1,travel,1
815,Yellow,1,1,auto,1
816,Yellow,3,1,property,0
817,Yellow,0,1,auto,1
818,Yellow,4,1,travel,0
819,Green,3,1,auto,1
820,Yellow,2,1,auto,1
821,Green,3,0,property,1
822,Yellow,1,0,travel,1
823,Yellow,3,1,auto,1
824,Yellow,3,1,auto,1
825,Yellow,1,1,auto,1
826,Yellow,2,1,travel,0
827,Green,1,1,life,1
828,Yellow,4,1,life,1
829,Green,0,1,auto,1
830,Red,2,1,life,1
831,Yellow,0,1,life,1
832,Yellow,4,1,auto,1
833,Yellow,4,1,life,1
834,Red,1,1,travel,1
835,Red,1,1,property,1
836,Yellow,3,1,auto,1
837,Yellow,2,1,travel,1
838,Yellow,4,1,auto,1
839,Yellow,4,1,travel,1
840,Yellow,0,1,auto,1
841,Yellow,1,0,auto,1
842,Green,3,1,travel,1
843,Yellow,4,1,life,1
844,Green,2,1,property,0
845,Yellow,1,1,auto,1
846,Green,0,1,auto,1
847,Yellow,1,1,travel,1
848,Yellow,4,1,travel,1
849,Green,1,1,auto,1
850,Yellow,4,1,auto,1
851,Yellow,2,1,auto,1
852,Red,2,0,property,1
853,Green,2,1,property,1
854,Green,0,1,auto,1
855,Yellow,2,1,property,1
856,Yellow,2,1,auto,1
857,Green,1,1,auto,1
858,Red,1,1,auto,1
859,Yellow,2,1,auto,1
860,Yellow,3,1,property,1
861,Yellow,4,1,auto,1
862,Yellow,4,1,life,1
863,Green,0,1,property,1
864,Yellow,3,1,travel,1
865,Green,1,1,auto,1
866,Yellow,2,1,travel,0
867,Red,1,1,travel,0
868,Green,1,1,property,1
869,Yellow,2,1,auto,1
870,Yellow,3,1,life,1
871,Red,4,1,travel,1
872,Yellow,0,0,auto,1
873,Yellow,2,1,travel,0
874,Green,0,1,property,1
875,Yellow,2,1,life,1
876,Yellow,1,1,auto,1
877,Yellow,3,1,auto,1
878,Green,0,1,life,1
879,Green,1,0,auto,1
880,Yellow,4,1,travel,1
881,Yellow,0,1,travel,1
882,Green,3,1,property,0
883,Green,0,1,property,0
884,Yellow,2,1,auto,1
885,Yellow,4,1,auto,1
886,Yellow,2,1,property,1
887,Green,3,1,auto,1
888,Green,0,1,auto,1
889,Yellow,4,1,life,1
890,Yellow,3,1,auto,1
891,Yellow,1,1,auto,1
892,Yellow,2,1,life,1
893,Green,1,1,auto,1
894,Yellow,4,1,property,0
895,Yellow,1,1,property,1
896,Green,4,1,travel,1
897,Yellow,3,1,auto,1
898,Yellow,0,1,property,1
899,Yellow,0,1,auto,1
900,Yellow,3,1,travel,0
901,Green,0,1,property,1
902,Green,1,0,property,1
903,Yellow,0,1,auto,1
904,Yellow,1,1,auto,1
905,Green,2,1,auto,1
906,Green,2,1,life,1
907,Yellow,0,1,auto,1
908,Yellow,4,1,property,1
909,Yellow,0,1,auto,1
910,Yellow,1,1,travel,0
911,Yellow,1,1,travel,1
912,Yellow,2,1,auto,1
913,Yellow,0,1,auto,1
914,Green,0,1,auto,1
915,Yellow,3,1,travel,0
916,Yellow,2,1,auto,1
917,Red,4,1,property,1
918,Yellow,3,1,travel,0
919,Red,3,1,travel,1
920,Yellow,4,1,auto,1
921,Yellow,0,1,auto,1
922,Yellow,3,1,property,1
923,Yellow,2,1,travel,1
924,Yellow,4,1,travel,1
925,Yellow,4,1,auto,1
926,Yellow,4,1,property,1
927,Yellow,0,1,travel,0
928,Green,2,1,auto,1
929,Yellow,4,1,travel,0
930,Yellow,0,1,property,1
